title,score
Dark Shadows,5.873376345440121
RoboCop,5.872463925671754
Indiana Jones and the Kingdom of the Crystal Skull,5.866374716130106
Hansel & Gretel: Witch Hunters,5.841995547894237
Exodus: Gods and Kings,5.840678883566048
The 5th Wave,5.8391521369345565
G.I. Joe: The Rise of Cobra,5.838082358403906
Oz: The Great and Powerful,5.834298523746032
Clash of the Titans,5.822235151269392
Sausage Party,5.821962563751889
Noah,5.816027169056968
The Twilight Saga: New Moon,5.811680749316443
Pixels,5.80793496228299
Batman v Superman: Dawn of Justice,5.781535351813784
Battleship,5.775439782126861
The Legend of Tarzan,5.755048307299738
Jack the Giant Slayer,5.745389999747138
2012,5.734216660467886
Fantastic 4: Rise of the Silver Surfer,5.68741206913272
Ghostbusters,5.665874835413074
G.I. Joe: Retaliation,5.661645802294322
Jupiter Ascending,5.55606291135772
Fifty Shades of Grey,5.522081571533699
Green Lantern,5.521696997937347
A Good Day to Die Hard,5.507643057147879
After Earth,5.459419777338048
Independence Day: Resurgence,5.406233703256387
Fantastic Four,5.155730297074678
